,시군명,사업장명,영업상태명,WGS84위도,WGS84경도
9,고양시,Dr.JK 동물병원,정상,37.6621933,126.7664115
10,고양시,고양동물병원,정상,37.7010764859,126.9018235658
11,고양시,스마트동물병원,정상,37.6617395,126.7647696
12,고양시,경서동물병원,정상,37.6006961,126.8728368
13,고양시,신일산동물병원,정상,37.6547395,126.7836261
14,고양시,더독,정상,37.6831552,126.7784297
15,고양시,탑케어동물의료원,정상,37.6312311266,126.831064195
16,고양시,고양 우리아이 동물병원,정상,37.7054151818,126.9024807106
17,고양시,조이동물병원,정상,37.6927946,126.7597724
18,고양시,펫피아 동물병원,정상,37.6155771,126.8346754
19,고양시,제이엠 동물병원,정상,37.6583803846,126.7733747675
20,고양시,오엠동물병원,정상,37.6645540055,126.7545272288
21,고양시,풍동동물병원,정상,37.6673787916,126.7979039985
22,고양시,행신동물병원,정상,37.6192756,126.8315975
23,고양시,마리동물병원,정상,37.6931261693,126.7675233585
24,고양시,풍동 라파엘 동물병원,정상,37.6672997,126.7990716
25,고양시,워리워리,정상,37.6816531,126.7570994
26,고양시,Helix ADI Center : 헬릭스 영상진단센터,정상,37.6175351014,126.8462912478
27,고양시,그랜드 동물병원,정상,37.6707056974,126.7581282251
28,고양시,24시 나음동물의료센터,정상,37.6550432318,126.7744729433
29,고양시,웰니스동물병원 스타필드 고양,정상,37.6470962619,126.8948092677
30,고양시,원흥동물의료센터,정상,37.6292705089,126.8687542134
31,고양시,해밀동물병원,정상,37.6653813,126.8157942
32,고양시,탑동물병원,정상,37.6174106969,126.8242081066
33,고양시,민동물병원,정상,37.6555184,126.8355939
34,고양시,화정동물병원,정상,37.6399356,126.8320372
35,고양시,헬릭스동물메디컬센터,정상,37.6175351014,126.8462912478
36,고양시,아이편한 동물의료센터,정상,37.6140350057,126.8344814671
37,고양시,Dr. dog 동물영상의료센터,정상,37.670704443,126.7812146784
38,고양시,쿨펫동물병원 킨텍스점,정상,37.6614886,126.7440193
39,고양시,위시티 동물병원,정상,37.6809381,126.8139867
40,고양시,수 동물병원,정상,37.6608223,126.7656566
41,고양시,에드워드동물병원,정상,37.6749215504,126.8081626599
42,고양시,해랑동물병원,정상,37.6254989841,126.8169615534
43,고양시,펫스티벌 동물병원,정상,37.6790208492,126.7936776896
44,고양시,조이동물병원 제니스점,정상,37.6940982,126.7628408
45,고양시,시민종합동물병원,정상,37.6746843,126.7637081
46,고양시,펫스마일동물병원,정상,37.6770723,126.7509592
47,고양시,현대동물병원,정상,37.6874592,126.777045
48,고양시,펫앤유 24시 동물병원,정상,37.7149313,126.851395
49,고양시,경서동물병원,정상,37.6006961,126.8728368
50,고양시,해오름 동물병원,정상,37.6588561,126.8384876
51,고양시,FM 동물메디컬센터,정상,37.633935495,126.8311306207
52,고양시,삼송동물병원,정상,37.6524937,126.8910022
53,고양시,고양시 동물보호센터,정상,37.6497789908,126.8700863528
54,고양시,삼송사랑 동물의료센터,정상,37.6507482,126.8843078
55,고양시,더바름동물병원,정상,,
56,고양시,쥬박스동물병원(탑동물병원),정상,37.6694732913,126.7613834257
57,고양시,닥터서동물심장병원,정상,37.6635042264,126.7510116068
58,고양시,중산동물메디컬센터,정상,37.6858946979,126.7772800655
59,고양시,소노펫 동물병원,정상,37.6625616531,126.7501934137
60,고양시,새로이동물병원,정상,37.6388182315,126.7875971678
61,고양시,서울하은동물병원,정상,37.5998867006,126.8900147913
62,고양시,위즈펫동물병원 풍산점,정상,37.6738193,126.7870725
63,고양시,하노버,정상,37.6725555218,126.7570325665
64,고양시,호수동물병원,정상,37.6723467,126.7573454
65,고양시,작은 친구 동물병원,정상,37.620278,126.8210724
66,고양시,삼송동물의료센터,정상,37.6543814,126.8960875
67,고양시,일산동물의료원,정상,37.6824317759,126.7538266641
68,고양시,원당동물병원,정상,37.6564072,126.8333707
69,고양시,해맑은 동물병원,정상,37.6912611,126.7632694
70,고양시,사과나무 동물병원,정상,37.6772424,126.7679054
71,고양시,포근한동물병원,정상,37.6481623,126.884176
72,고양시,참사랑,정상,37.6930436,126.780985
73,고양시,자유로 동물병원,정상,37.669548,126.7340737
74,고양시,초원동물병원,정상,37.6795472,126.7626043
75,고양시,토베스트 동물병원,정상,37.6723519,126.7780429
76,고양시,Dr.dog동물의료센터,정상,37.6706401792,126.7810225333
77,고양시,토론토 동물병원,정상,37.6781278,126.7558527
78,고양시,튼튼동물병원,정상,37.6418538178,126.7872848107
79,고양시,강남동물병원,정상,37.6787711,126.8110676
80,고양시,신원동물메디컬센터,정상,37.6618789767,126.8880641812
81,고양시,올리브동물병원,정상,37.6496256078,126.7802502896
82,고양시,백마동물병원,정상,37.6552376,126.7899027
83,고양시,이창훈 동물병원,정상,37.6693755,126.7763517
84,고양시,일산 클래식 동물병원,정상,37.6475958027,126.7829110755
85,고양시,365 신원당 동물병원,정상,37.6543538,126.8403447
86,고양시,페로페라동물병원,정상,37.6771875362,126.8123752763
87,고양시,애니웰 동물병원,정상,37.6398309,126.7898787
88,고양시,쿨펫동물병원,정상,37.6328886,126.8310678
89,고양시,돌봄동물병원,정상,37.6990711,126.753935
90,고양시,서울프라임 동물병원,정상,37.6274435,126.8288713
91,고양시,아마존,정상,37.6245795,126.8358671
92,고양시,산들동물병원,정상,37.6820201,126.7784898
93,고양시,앞선동물병원,정상,37.6617165,126.887781
94,고양시,탄현 동물병원,정상,37.6985487186,126.7655302945
95,고양시,이용철동물병원,정상,37.6836565405,126.7724137723
96,고양시,거부기 동물병원,정상,37.6618944881,126.7659256092
97,고양시,로하스 동물병원,정상,37.6695112639,126.7674720555
98,고양시,이솝동물병원,정상,37.6616277,126.7862125
99,고양시,진스 종합 동물병원,정상,37.6501845,126.7761267
100,고양시,피그만클리닉,정상,37.6528963832,126.8992287721
101,고양시,가람동물병원,정상,37.6543794,126.7789583
102,고양시,메리알 동물병원,정상,37.6399409,126.7859583
103,고양시,다니엘 동물병원,정상,37.6567391,126.7882099
104,고양시,디엔씨,정상,37.6234997889,126.8362215426
105,고양시,소망 동물병원,정상,37.6764934,126.8121843
106,고양시,봄빛동물병원,정상,37.6476034,126.7882929
107,고양시,중산종합동물병원,정상,37.6858946979,126.7772800655
108,고양시,일산시티 동물의료센터,정상,37.6601492727,126.76646432
109,고양시,통일로 동물병원,정상,37.687798,126.8693064
110,고양시,Wiz-Pet 동물병원,정상,37.6431641,126.789654
111,고양시,동물진료법인 쥬박스동물메디컬센터,정상,37.6694732913,126.7613834257
112,고양시,센트럴동물병원,정상,37.6380537487,126.8328459978
113,고양시,24시 라인동물의료센터,정상,37.6524252132,126.8969766222
114,고양시,행신동물의료센터,정상,37.6235052997,126.834000425
115,고양시,메리알동물병원,정상,37.613426731,126.833705087
116,고양시,지축오투동물의료센터,정상,37.64878743,126.9174219266
117,고양시,리즈펫동물병원,정상,37.6495732412,126.8962401729
118,고양시,대심동물병원,정상,37.6871028144,126.8666972136
119,고양시,더힐링동물병원,정상,37.6601067159,126.908082011
120,고양시,하이반려동물행동클리닉,정상,37.6504664009,126.8756238994
121,고양시,벳케어 동물병원,정상,37.6870729,126.7191928
122,고양시,반딧불 동물병원,정상,37.6703244,126.759687
123,고양시,김 S 동물병원,정상,37.666658318,126.7735945149
124,고양시,예 동물병원,정상,37.6302983,126.8694207
125,고양시,24일산우리동물병원,정상,37.6708974586,126.7585231859
